,epoch,train_loss,wire_train_acc,wire_train_f1,terminal_train_acc,terminal_train_f1,action_train_acc,action_train_f1,val_loss,wire_val_acc,wire_val_f1,terminal_val_acc,terminal_val_f1,action_val_acc,action_val_f1
0,0,10.048342645168304,0.375,0.3807692307692308,0.125,0.17708333333333331,0.0625,0.08928571428571427,9.63270878791809,0.0,0.0,1.0,1.0,0.25,0.375
1,1,9.709231436252594,0.0625,0.1,0.1875,0.14583333333333331,0.3125,0.2847222222222222,9.473310470581055,0.0,0.0,1.0,1.0,0.5,0.5
2,2,9.602025032043457,0.0625,0.1111111111111111,0.0,0.0,0.375,0.3732638888888889,9.303305625915527,0.0,0.0,1.0,1.0,0.75,0.6428571428571428
3,3,9.564037501811981,0.0625,0.05555555555555555,0.125,0.14642857142857144,0.25,0.23504273504273504,9.16439962387085,0.0,0.0,1.0,1.0,0.75,0.6428571428571428
4,4,9.349599599838257,0.1875,0.2222222222222222,0.125,0.125,0.375,0.2517361111111111,9.062789916992188,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
5,5,9.454356461763382,0.4375,0.4943181818181818,0.1875,0.1875,0.375,0.3661616161616162,9.060310125350952,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
6,6,9.613407611846924,0.1875,0.18125000000000002,0.25,0.2375,0.1875,0.16171328671328672,9.020474672317505,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
7,7,9.239729166030884,0.1875,0.23737373737373738,0.0,0.0,0.375,0.37878787878787873,9.009264945983887,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
8,8,9.418777525424957,0.125,0.16666666666666666,0.1875,0.20833333333333331,0.375,0.3482142857142857,9.079849243164062,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
9,9,9.366593360900879,0.1875,0.20202020202020202,0.125,0.125,0.5,0.4642857142857142,9.0671706199646,0.0,0.0,0.5,0.5833333333333333,0.5,0.5
10,10,9.517058789730072,0.4375,0.5264423076923077,0.0625,0.05,0.3125,0.2578671328671329,9.023317098617554,0.0,0.0,0.5,0.5833333333333333,0.75,0.6428571428571428
11,11,9.121559262275696,0.125,0.1,0.1875,0.15476190476190477,0.4375,0.3485576923076923,9.025663137435913,0.0,0.0,0.75,0.75,0.75,0.6428571428571428
12,12,9.43750536441803,0.1875,0.22916666666666666,0.125,0.15000000000000002,0.25,0.23677884615384615,9.065080404281616,0.0,0.0,0.5,0.5833333333333333,0.25,0.30000000000000004
13,13,9.244540452957153,0.25,0.28434065934065933,0.1875,0.15833333333333333,0.3125,0.22518382352941177,9.001408815383911,0.0,0.0,0.5,0.5833333333333333,0.75,0.6428571428571428
14,14,9.409667134284973,0.1875,0.22483766233766234,0.125,0.1125,0.3125,0.28149801587301587,9.01763391494751,0.0,0.0,0.75,0.75,0.25,0.30000000000000004
15,15,9.288560330867767,0.25,0.3214285714285714,0.0625,0.041666666666666664,0.375,0.3680555555555556,9.000792980194092,0.0,0.0,0.75,0.75,0.25,0.1
