,epoch,train_loss,wire_train_acc,wire_train_f1,terminal_train_acc,terminal_train_f1,action_train_acc,action_train_f1,val_loss,wire_val_acc,wire_val_f1,terminal_val_acc,terminal_val_f1,action_val_acc,action_val_f1
0,0,9.839987590909004,0.21875,0.21461897647522415,0.08125,0.08109138257575757,0.2625,0.18699127090676665,9.477591156959534,0.65,0.6565699505173189,0.475,0.45370129870129866,0.275,0.11862745098039215
1,1,9.698702251911163,0.15625,0.1593138440860215,0.075,0.07130586883876358,0.2875,0.26394854488078545,9.472938656806946,0.625,0.6340101419048787,0.95,0.9483333333333335,0.275,0.11862745098039215
2,2,9.605162987113,0.25625,0.25643930716337926,0.14375,0.1459295576735093,0.29375,0.2707481794691097,9.429340600967407,0.675,0.6801079622132253,1.0,1.0,0.275,0.11862745098039215
3,3,9.477716082334519,0.2875,0.28918331849546963,0.1625,0.16817441803122918,0.30625,0.2654054054054054,9.330019569396972,0.725,0.7281848852901484,1.0,1.0,0.325,0.209375
4,4,9.425752061605454,0.24375,0.2446279958336771,0.20625,0.20327860983102916,0.35,0.32359777743478924,9.172750580310822,0.725,0.732225449988608,1.0,1.0,0.425,0.33223684210526316
5,5,9.27453671991825,0.29375,0.29469772325375776,0.3875,0.3853741262551331,0.4,0.37836667179979877,8.998173570632934,0.775,0.7873015873015873,1.0,1.0,0.475,0.42940786394133246
6,6,9.154426378011703,0.34375,0.34841571305280983,0.35,0.35108248496531236,0.46875,0.429628625841035,8.840249860286713,0.8,0.8013888888888889,1.0,1.0,0.475,0.37735042735042734
7,7,8.928278103470802,0.41875,0.4178774884317054,0.43125,0.43109771528976637,0.51875,0.4920656170076726,8.47267107963562,0.875,0.8725490196078433,1.0,1.0,0.65,0.6124999999999999
8,8,8.71101542711258,0.28125,0.2865065906481771,0.51875,0.5177576902225818,0.56875,0.5260416922190061,7.967385911941529,0.9,0.8987394957983194,1.0,1.0,0.65,0.6184048178613396
9,9,8.53657076060772,0.36875,0.3629461760338393,0.6125,0.6097861907001784,0.58125,0.5387788414334805,7.5277388334274296,0.875,0.8725490196078433,1.0,1.0,0.725,0.6864153627311522
10,10,8.080016338825226,0.4625,0.4616373604236215,0.59375,0.5946848773324198,0.6625,0.6282508223684211,6.961204767227173,0.9,0.8994152046783626,1.0,1.0,0.775,0.7288464127069592
11,11,7.653680998086929,0.45625,0.4548945420465526,0.71875,0.7179279668996238,0.69375,0.6549903549120781,6.425279319286346,0.925,0.9257936507936508,1.0,1.0,0.8,0.7782047014770128
12,12,7.246608009934425,0.4375,0.4365485948477751,0.73125,0.7303594082070692,0.7875,0.7492907334211683,6.320835912227631,0.875,0.8747619047619046,1.0,1.0,0.725,0.6708226768968457
13,13,6.932227635383606,0.48125,0.47522520281081926,0.8,0.8002432414498056,0.7375,0.7048207547169811,5.438564467430115,0.9,0.9027485380116959,1.0,1.0,0.8,0.7782047014770128
14,14,6.504111948609352,0.4375,0.43820494022106926,0.88125,0.8814963237809164,0.75625,0.7163797323073429,4.91143182516098,0.925,0.9265246449456976,1.0,1.0,0.825,0.8147527910685806
15,15,6.022877766191959,0.66875,0.6715761942675915,0.925,0.9262594098925117,0.7625,0.7415259174648045,4.220410859584808,0.925,0.9257936507936508,1.0,1.0,0.875,0.8576889233954452
16,16,5.470022700726986,0.60625,0.6099466862153375,0.94375,0.944204454700299,0.80625,0.7817599221706226,3.8042416274547577,0.925,0.9265246449456976,1.0,1.0,0.825,0.8147527910685806
17,17,4.996124239265919,0.64375,0.6454050412061645,0.9375,0.9371736426154259,0.80625,0.7882220823111854,3.1829634577035906,0.975,0.9757309941520468,1.0,1.0,0.8,0.7814653784219001
18,18,4.475796710699797,0.74375,0.7443084876064093,0.975,0.9750980753480754,0.80625,0.7914812759643681,2.5762463420629502,0.925,0.9265246449456976,1.0,1.0,0.95,0.9489219675876349
19,19,4.130596717447043,0.68125,0.6814319254466049,0.96875,0.9688871939113873,0.825,0.8216122218781793,2.2946134328842165,0.85,0.8456769374416433,1.0,1.0,0.95,0.9489219675876349
20,20,3.7339356027543547,0.71875,0.7192689513956677,0.9625,0.9623405352614277,0.81875,0.8153155619324511,2.123810949921608,0.9,0.9002088554720133,1.0,1.0,0.925,0.9238095238095239
21,21,3.402327676489949,0.75625,0.7543474393376668,0.975,0.9752709043829734,0.875,0.8744866975130133,1.8227980196475984,0.95,0.9507936507936507,1.0,1.0,0.95,0.9489219675876349
22,22,3.3124516874551775,0.7375,0.7370300632619561,0.975,0.9748763942513943,0.8375,0.8341402343480826,1.8455519624054433,0.95,0.9507936507936507,1.0,1.0,0.9,0.8991428571428571
23,23,2.9370351385325195,0.75,0.7491529603245262,0.98125,0.9812289623168378,0.89375,0.891286122311828,1.6190250739455223,0.95,0.9507936507936507,1.0,1.0,0.9,0.8991428571428571
24,24,2.771879122965038,0.76875,0.7700181729948221,0.9875,0.9875133933754622,0.88125,0.8806709080393291,1.3490390755236148,0.95,0.9507936507936507,1.0,1.0,0.975,0.975112443778111
25,25,2.581736242584884,0.775,0.7749516253869968,0.9875,0.9874767008387698,0.8875,0.8869935991268276,1.3024379327893256,0.95,0.9507936507936507,1.0,1.0,0.975,0.975112443778111
26,26,2.481026902422309,0.7875,0.7872762629642021,0.9875,0.9875793313929986,0.9125,0.9119842954159593,1.5767726376652718,0.95,0.9507936507936507,1.0,1.0,0.9,0.9
27,27,2.2950927004218102,0.7875,0.7898334216567466,0.9875,0.9875162808206287,0.9,0.8996848773931287,1.0047855637967587,0.95,0.9507936507936507,1.0,1.0,0.975,0.975112443778111
28,28,1.966006221808493,0.85,0.8496784164621319,1.0,1.0,0.95,0.9500591366055587,0.9935443855822086,0.925,0.9225490196078432,1.0,1.0,0.975,0.975112443778111
29,29,2.0862354337237776,0.825,0.8255166607585963,0.9875,0.9874458874458873,0.91875,0.9185914855072463,1.1600021284073592,0.95,0.9507936507936507,1.0,1.0,0.925,0.9253333333333333
30,30,2.0204737105406823,0.7875,0.7881746205945065,1.0,1.0,0.91875,0.9188699637752427,0.8562987558543682,0.925,0.9225490196078432,1.0,1.0,0.975,0.975112443778111
31,31,1.9215056119486689,0.85,0.848605715013278,0.98125,0.9810120632966932,0.925,0.9248298522101743,0.7934215184301138,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
32,32,1.814141914434731,0.825,0.8246923076923076,0.99375,0.9937094594594594,0.94375,0.944050299467613,1.003939250856638,0.95,0.9507936507936507,1.0,1.0,0.95,0.950297619047619
33,33,1.8108750586397946,0.84375,0.8432604895104895,0.99375,0.993755411255411,0.94375,0.9436959319242584,0.713963170722127,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
34,34,1.454373830370605,0.85625,0.8566973162334985,0.98125,0.981276455026455,0.9625,0.9626352887800506,0.7315696690231561,0.95,0.9507936507936507,1.0,1.0,0.975,0.975112443778111
35,35,1.4602314874064177,0.85625,0.8555771322091887,0.99375,0.9937169312169312,0.96875,0.9687575854111486,0.7364321500062943,0.925,0.9225490196078432,1.0,1.0,0.975,0.975112443778111
36,36,1.660242041805759,0.85,0.8491454465075154,0.99375,0.9937615207373269,0.95,0.9497478414442699,0.6884294584393501,0.95,0.9507936507936507,1.0,1.0,0.975,0.975112443778111
37,37,1.5517274159006775,0.81875,0.8191843358841311,0.99375,0.9937781109445277,0.95,0.9501995666601596,0.6492630295455456,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
38,38,1.4762329357210546,0.8375,0.8387395183671034,1.0,1.0,0.96875,0.9686967669775882,0.5085742093622685,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
39,39,1.3974874096456915,0.8375,0.8368051046176046,0.9875,0.9874525283145973,0.9625,0.9624560148761848,0.5095399849116802,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
40,40,1.1423708305228502,0.89375,0.8935184764135776,1.0,1.0,0.96875,0.9687947744623914,0.4826720738783479,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
41,41,1.1833681050688027,0.875,0.8745793650793651,1.0,1.0,0.9625,0.962642288861689,0.45103419609367845,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
42,42,1.199506320268847,0.86875,0.8671991210277215,1.0,1.0,0.9625,0.9625882541720155,0.4762465307489038,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
43,43,1.247860947716981,0.875,0.8747990988480119,1.0,1.0,0.975,0.9749275576581905,0.42029230762273073,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
44,44,1.0238861329620703,0.88125,0.8814033106533106,0.975,0.9746027675402675,0.98125,0.9813135718509758,0.41607637479901316,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
45,45,1.0916534237214364,0.86875,0.8691431314257401,1.0,1.0,0.96875,0.9684115691393462,0.40327165443450214,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
46,46,0.952452581981197,0.89375,0.8940502261009173,1.0,1.0,0.975,0.9750778593761957,0.40412678914144634,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
47,47,1.101335375464987,0.9,0.899755632009889,0.99375,0.9937408424908425,0.96875,0.9687168270835651,0.3833665495738387,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
48,48,1.0591610321542249,0.90625,0.9064060363599534,0.9875,0.9875,0.975,0.9749912691041439,0.38116245763376355,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
49,49,0.9786192533792928,0.84375,0.842889833998858,1.0,1.0,0.975,0.9748871281608176,0.3775895873084664,0.95,0.9507936507936507,1.0,1.0,1.0,1.0
50,50,0.894288728304673,0.925,0.9250383945979148,0.99375,0.99375,0.9875,0.9874566752246471,0.3693114095367491,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
51,51,0.8814251018106006,0.9125,0.9122498181341305,0.99375,0.99375,0.98125,0.981243709783864,0.35396297071129085,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
52,52,0.8822253489401192,0.88125,0.8809842692366587,1.0,1.0,0.98125,0.9811775576581905,0.3471554053016007,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
53,53,0.8157393482979387,0.9,0.8998094093406592,0.9875,0.987482112094181,0.9625,0.9625326165572492,0.35262236651033163,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
54,54,0.9992541973013431,0.8875,0.8880523912300731,0.975,0.9747892309097551,0.96875,0.9687433471318746,0.34744105860590935,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
55,55,0.7216211369493977,0.9,0.8995810399830535,0.99375,0.9937720225510922,0.9875,0.9874566752246471,0.3380905988626182,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
56,56,0.7132968629826791,0.9375,0.9368508279914529,0.99375,0.9937094594594594,0.975,0.9749912691041439,0.34813833576627073,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
57,57,0.5821035342174582,0.95,0.9495787795992714,0.99375,0.9937408424908425,0.99375,0.9937477823772916,0.34038446862250565,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
58,58,0.6886373976827599,0.91875,0.9187323731575964,1.0,1.0,0.9875,0.9874566752246471,0.33441017819568514,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
59,59,0.9785281160962768,0.8625,0.8626683467741936,0.98125,0.9812305375090233,0.975,0.9749912691041439,0.337135912431404,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
60,60,0.713123699213611,0.93125,0.9312807652871035,1.0,1.0,0.975,0.9749912691041439,0.33022884936071933,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
61,61,0.6616624737798702,0.9375,0.9375149253731342,1.0,1.0,0.99375,0.9937477823772916,0.3318937467876822,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
62,62,0.6190192591107916,0.9375,0.9379651782034607,1.0,1.0,0.9875,0.9874977823772916,0.3337476548273116,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
63,63,0.646618419099832,0.91875,0.919156648611436,1.0,1.0,0.99375,0.9937477823772916,0.3299695138353854,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
64,64,0.7051967365609016,0.93125,0.9292546345414265,0.99375,0.9936706349206348,0.98125,0.9813135718509758,0.3232761124614626,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
65,65,0.6742918951145839,0.925,0.9247640120150624,1.0,1.0,0.98125,0.9812703866706005,0.32463173316791655,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
66,66,0.640226417593658,0.94375,0.9437105394605394,1.0,1.0,0.98125,0.9811342328828376,0.32128534954972565,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
67,67,0.7435581965139135,0.9125,0.9119699620445889,1.0,1.0,0.96875,0.9688402391791129,0.3163958721328527,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
68,68,0.7477043681923533,0.93125,0.9309952464024958,1.0,1.0,0.96875,0.9687805385295187,0.32418207798618826,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
69,69,0.6547385463491082,0.925,0.9252929812541417,1.0,1.0,0.975,0.975149084794921,0.317916326969862,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
70,70,0.5127923087915406,0.925,0.9245956649892442,1.0,1.0,0.99375,0.9937477823772916,0.3111966715659946,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
71,71,0.703494742953626,0.9125,0.911470643939394,0.99375,0.9937336530078464,0.9875,0.9874566752246471,0.31201706477440894,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
72,72,0.5954246309484006,0.925,0.9250842595690371,1.0,1.0,0.98125,0.9811775576581905,0.30788610903546215,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
73,73,0.530846053379355,0.9125,0.9125237454095514,1.0,1.0,0.9875,0.9874635237009013,0.3032085930230096,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
74,74,0.4747283890726976,0.9375,0.9375592420067356,1.0,1.0,0.99375,0.9937477823772916,0.3043350640917197,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
75,75,0.49226521018426866,0.95,0.9503142328581557,0.99375,0.9937608695652174,0.99375,0.9937477823772916,0.3031447597080842,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
76,76,0.43209789112152064,0.95,0.9500661375661374,1.0,1.0,0.99375,0.9937477823772916,0.3037468828028068,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
77,77,0.5702133816084825,0.95,0.9499553382404089,1.0,1.0,0.98125,0.9813135718509758,0.30599959229584783,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
78,78,0.38674422490148574,0.96875,0.9686067620959413,0.99375,0.9937781320330081,0.99375,0.9937477823772916,0.31245111105963586,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
79,79,0.6151596136885928,0.9125,0.9122175790317358,1.0,1.0,0.98125,0.9812702470756228,0.3669770311098546,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
80,80,0.7581949016588624,0.8875,0.8866380644006707,1.0,1.0,0.96875,0.968926395932695,0.315138831268996,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
81,81,0.4264436174009461,0.95625,0.95625,0.99375,0.9937051282051282,0.99375,0.9937477823772916,0.3040111471200362,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
82,82,0.46107125601702137,0.95625,0.9561490086014854,1.0,1.0,0.99375,0.9937477823772916,0.30454124356620016,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
83,83,0.4768639108922798,0.925,0.924665462097989,1.0,1.0,0.99375,0.9937477823772916,0.30792175865499305,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
84,84,0.5025644163571996,0.925,0.9250649994583379,1.0,1.0,0.9875,0.9874635237009013,0.31200017757946624,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
85,85,0.4709285016026115,0.95,0.9497688492063492,1.0,1.0,0.9875,0.9875188764615878,0.3169125030981377,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
86,86,0.36764138163853205,0.94375,0.9438396104969765,1.0,1.0,0.99375,0.9937477823772916,0.3145243104896508,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
87,87,0.5837672718371323,0.91875,0.9180857907762439,1.0,1.0,0.98125,0.9812703866706005,0.32716175460955127,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
88,88,0.5864133644528919,0.91875,0.9184610710470086,0.99375,0.9937965838509317,0.98125,0.9813135718509758,0.31148596039274706,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
89,89,0.4208935443391965,0.95,0.9499210526315789,1.0,1.0,0.99375,0.9937477823772916,0.31409752619219944,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
90,90,0.41197737504262477,0.94375,0.9439763900987224,1.0,1.0,0.99375,0.9937477823772916,0.3147074166336097,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
91,91,0.4313517718874209,0.9625,0.9629248027971352,0.99375,0.99375,0.9875,0.9874566752246471,0.3404269608668983,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
92,92,0.5180428381292586,0.9,0.900978558528109,1.0,1.0,0.99375,0.9937477823772916,0.30874768329085783,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
93,93,0.4357983724774385,0.91875,0.9187742512656794,0.99375,0.9937019969278034,0.99375,0.9937477823772916,0.3078567329328507,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
94,94,0.4309698165907321,0.93125,0.93177063203469,0.99375,0.9937579821200512,0.99375,0.9937477823772916,0.3023872665711679,0.925,0.9265246449456976,1.0,1.0,1.0,1.0
