,epoch,train_loss,wire_train_acc,wire_train_f1,terminal_train_acc,terminal_train_f1,action_train_acc,action_train_f1,val_loss,wire_val_acc,wire_val_f1,terminal_val_acc,terminal_val_f1,action_val_acc,action_val_f1
0,0,9.6532655864954,0.19375,0.19753960548526167,0.0625,0.06345993155606178,0.275,0.26136273631534457,9.457944798469544,0.5,0.49765182186234813,0.8,0.8064285714285715,0.325,0.22687338501291993
1,1,9.60902771651745,0.2,0.1994301809963725,0.14375,0.1433961462071566,0.275,0.25117581703151687,9.326730799674987,0.475,0.47222222222222215,0.95,0.9515384615384616,0.525,0.5045751633986928
2,2,9.53612298965454,0.19375,0.196784070634985,0.15,0.14898774000132234,0.33125,0.30755376866924117,9.188365721702576,0.35,0.35767231134878197,1.0,1.0,0.475,0.37470238095238095
3,3,9.497321337461472,0.25625,0.25150093370681603,0.24375,0.24005723626952072,0.35625,0.3302820710111959,9.028875982761383,0.625,0.6266869095816464,0.925,0.9251748251748252,0.525,0.4681025641025641
4,4,9.316003066301345,0.26875,0.2669260825545473,0.2625,0.2680771201616915,0.4375,0.4079841454841454,8.865887391567231,0.6,0.6016290726817043,1.0,1.0,0.6,0.5703525641025642
5,5,9.176772412657737,0.225,0.2284230373332278,0.325,0.31789758210160124,0.49375,0.4536682446703999,8.621087086200713,0.625,0.6279448621553885,1.0,1.0,0.6,0.5703525641025642
6,6,9.1387198895216,0.23125,0.23175286177460558,0.4875,0.4883288994045662,0.46875,0.433579349078341,8.356926155090331,0.6,0.603030303030303,1.0,1.0,0.625,0.5997398190045249
7,7,8.720868042111396,0.2375,0.235060715609937,0.5,0.5010472168443212,0.58125,0.5413327273564065,7.911794984340668,0.625,0.6257936507936508,1.0,1.0,0.65,0.62375
8,8,8.23351309299469,0.1875,0.18838258865547602,0.64375,0.6432531784576979,0.6875,0.6387641420204445,7.468082594871521,0.525,0.5302380952380952,1.0,1.0,0.725,0.6828225806451613
9,9,7.809902358055115,0.24375,0.23755717108977975,0.68125,0.6798661721115313,0.7,0.6495788433990681,6.839368081092834,0.625,0.6309155518394649,1.0,1.0,0.725,0.6828225806451613
10,10,7.297987240552902,0.25,0.24952258363299556,0.83125,0.8286833534286326,0.70625,0.6647928379759774,6.593669271469116,0.625,0.6289595028294719,1.0,1.0,0.65,0.5632205513784461
11,11,7.119180744886398,0.275,0.2744492803349569,0.85625,0.8572698999872912,0.725,0.6851264157221544,5.855910384654999,0.6,0.6057837995337996,1.0,1.0,0.75,0.7055208333333334
12,12,6.692967596650123,0.30625,0.3045037328408435,0.93125,0.9314752483517925,0.7375,0.6843547734627832,5.406455421447754,0.675,0.678654970760234,1.0,1.0,0.775,0.72914673046252
13,13,6.3262233406305315,0.3625,0.36522743163904486,0.95625,0.956392454954955,0.75,0.6999490489130435,5.316126209497452,0.675,0.6769005847953217,1.0,1.0,0.7,0.6375
14,14,5.813091453909874,0.2875,0.28718547651169546,0.975,0.9749470390892624,0.75625,0.7057898586243465,4.823909252882004,0.75,0.755297557619539,1.0,1.0,0.775,0.72914673046252
15,15,5.49449208676815,0.33125,0.33004687499999996,1.0,1.0,0.74375,0.693413063216434,4.617893391847611,0.775,0.7756922944616443,1.0,1.0,0.75,0.7055208333333334
16,16,5.219373159110546,0.4375,0.4361809032123488,0.98125,0.9811892736892738,0.775,0.7211014221099384,4.476281630992889,0.8,0.8012770897832817,1.0,1.0,0.775,0.72914673046252
17,17,4.971882002055645,0.5,0.501917375924729,0.975,0.9752311964057654,0.75,0.6988636363636364,4.305830293893814,0.8,0.8012770897832817,1.0,1.0,0.775,0.72914673046252
18,18,4.887635563313961,0.4875,0.494010443137606,0.99375,0.9937336530078464,0.74375,0.7049687976100423,4.016409689188004,0.825,0.8231442577030812,1.0,1.0,0.85,0.8086309523809524
19,19,4.734401777386665,0.525,0.5242815827519463,1.0,1.0,0.74375,0.6902134192082646,3.751451003551483,0.775,0.7772015823873408,1.0,1.0,0.85,0.8086309523809524
