,precision,recall,f1-score,support
Pick,0.0,0.0,0.0,19.0
Insert,0.0,0.0,0.0,21.0
Lock,0.35714285714285715,0.21739130434782608,0.2702702702702703,23.0
Putdown,0.13157894736842105,0.7142857142857143,0.2222222222222222,7.0
accuracy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
macro avg,0.12218045112781956,0.2329192546583851,0.12312312312312312,70.0
weighted avg,0.13050483351235231,0.14285714285714285,0.11102531102531103,70.0
