,epoch,train_loss,wire_train_acc,wire_train_f1,wire_train_loss,action_train_acc,action_train_f1,action_train_loss,val_loss,wire_val_acc,wire_val_loss,wire_val_f1,action_val_acc,action_val_f1,action_val_loss
0,0,3.7274842709302902,0.625,0.65,0.5983376726508141,0.1875,0.125,3.1291465908288956,3.4909897446632385,0.25,0.5209595113992691,0.2,0.0,0.0,1.4850151240825653
1,1,2.910052999854088,0.5625,0.55,0.5999601297080517,0.3125,0.2548076923076923,2.310092881321907,3.0797544717788696,1.0,0.5103511810302734,1.0,0.25,0.125,1.2847016155719757
2,2,3.1772942692041397,0.8125,0.846078431372549,0.5740458555519581,0.3125,0.2881944444444444,2.603248432278633,3.1234453916549683,1.0,0.5015263110399246,1.0,0.0,0.0,1.31095951795578
3,3,3.3101791217923164,0.875,0.8776260504201681,0.5571008622646332,0.125,0.11979166666666666,2.7530782520771027,2.699160635471344,1.0,0.49854618310928345,1.0,0.75,0.6428571428571428,1.1003072261810303
4,4,3.1495533138513565,0.625,0.5861742424242424,0.5868015773594379,0.375,0.33482142857142855,2.562751702964306,2.8730320930480957,1.0,0.4835543930530548,1.0,0.25,0.125,1.1947388350963593
