,epoch,train_loss,wire_train_acc,wire_train_f1,wire_train_loss,action_train_acc,action_train_f1,action_train_loss,val_loss,wire_val_acc,wire_val_loss,wire_val_f1,action_val_acc,action_val_f1,action_val_loss
0,0,3.5699623376131058,0.625,0.61875,0.5895522348582745,0.1875,0.15625,2.980410099029541,3.4108591079711914,0.75,0.5168124586343765,0.7333333333333334,0.0,0.0,1.447023332118988
1,1,3.3459724709391594,0.75,0.6696428571428571,0.5886829160153866,0.3125,0.22086466165413532,2.757289543747902,2.934980630874634,1.0,0.5102147608995438,1.0,0.0,0.0,1.2123829424381256
2,2,3.151958718895912,0.625,0.6193347953216374,0.5991155989468098,0.25,0.22569444444444445,2.5528430938720703,2.7298213839530945,1.0,0.5076377242803574,1.0,0.75,0.6428571428571428,1.1110918521881104
3,3,3.348577454686165,0.75,0.7428571428571429,0.5836986675858498,0.0625,0.04464285714285714,2.7648787796497345,2.940969228744507,1.0,0.5048310607671738,1.0,0.25,0.1,1.2180691063404083
4,4,3.2727270275354385,0.625,0.63125,0.5886117778718472,0.25,0.18841911764705882,2.6841152235865593,2.8213884830474854,1.0,0.4994015246629715,1.0,0.25,0.1,1.1609934568405151
