,epoch,train_loss,wire_train_acc,wire_train_f1,wire_train_loss,action_train_acc,action_train_f1,action_train_loss,val_loss,wire_val_acc,wire_val_loss,wire_val_f1,action_val_acc,action_val_f1,action_val_loss
0,0,3.4308498948812485,0.6875,0.68125,0.589522585272789,0.3125,0.2361111111111111,2.8413272947072983,3.0282970666885376,1.0,0.5139092355966568,1.0,0.5,0.5,1.2571938931941986
1,1,3.4300432354211807,0.625,0.6193347953216374,0.5956577472388744,0.3125,0.3004807692307693,2.834385484457016,3.051996946334839,0.75,0.5145285576581955,0.7333333333333334,0.0,0.0,1.268734186887741
2,2,3.2417212426662445,0.4375,0.3930555555555555,0.5994799248874187,0.125,0.11363636363636365,2.6422413289546967,2.962395131587982,1.0,0.5078199207782745,1.0,0.0,0.0,1.2272875905036926
3,3,3.097691833972931,0.6875,0.6785453216374269,0.5864578373730183,0.25,0.2136752136752137,2.511233977973461,2.736436665058136,1.0,0.5003179609775543,1.0,0.75,0.6428571428571428,1.1180593371391296
4,4,3.274337872862816,0.75,0.7428571428571429,0.5818219557404518,0.25,0.2564102564102564,2.692515879869461,3.130096435546875,1.0,0.4978429526090622,1.0,0.0,0.0,1.3161267340183258
