,epoch,train_loss,wire_train_acc,wire_train_f1,wire_train_loss,action_train_acc,action_train_f1,action_train_loss,val_loss,wire_val_acc,wire_val_loss,wire_val_f1,action_val_acc,action_val_f1,action_val_loss
0,0,3.629569187760353,0.8125,0.8257518796992481,0.5887390747666359,0.3125,0.2560763888888889,3.0408301055431366,2.803865075111389,0.5,0.5210194140672684,0.3333333333333333,0.75,0.6428571428571428,1.141422837972641
1,1,3.297890290617943,0.5625,0.5868055555555556,0.5964815653860569,0.25,0.23989898989898992,2.701408728957176,2.9791176319122314,0.75,0.5194803774356842,0.7333333333333334,0.25,0.375,1.2298186123371124
2,2,3.3297832906246185,0.75,0.74375,0.5901181772351265,0.3125,0.2967171717171717,2.7396650910377502,2.822282552719116,1.0,0.5151235014200211,1.0,0.75,0.6428571428571428,1.1535795331001282
3,3,3.1111501529812813,0.9375,0.9375,0.5802909657359123,0.4375,0.3993055555555556,2.53085920214653,2.804668128490448,1.0,0.5111493021249771,1.0,0.75,0.6428571428571428,1.146759420633316
4,4,3.4959751665592194,0.75,0.775,0.5869495682418346,0.25,0.24305555555555555,2.9090255945920944,3.0730689764022827,1.0,0.5071944147348404,1.0,0.0,0.0,1.2829372882843018
